Username,Site,Customer,Updated By,ImageAttached,Route,Operator,Timedate,Annotation,Comment,Overall Result,Beta-lactams Result,Beta-lactams Level,Ceftiofur Result,Ceftiofur Level,Tetracyclines Result,Tetracyclines Level,Sulfonamides Result,Sulfonamides Level,Raw QR,Test Type,Batch Number
Haapavesi3,Haapavesi,Valio,Haapavesi3,False,"76","TN",12-03-2026 08:13,,,Negative,Negative,1.76,Negative,2.95,Negative,3.79,Negative,2.85,05251106E008011414,MilkSafe™ FAST CM1-3BTS ,251106E008
Lapinlahti2,Lapinlahti,Valio,Lapinlahti2,False,"415","LT",12-03-2026 09:59,,,Negative,Negative,1.99,Negative,3.02,Negative,3.64,Negative,2.85,05250725E007011952,MilkSafe™ FAST CM1-3BTS ,250725E007
Haapavesi3,Haapavesi,Valio,Haapavesi3,False,"7","AK",12-03-2026 10:06,,,Negative,Negative,1.79,Negative,2.81,Negative,3.47,Negative,2.54,05251106E008013604,MilkSafe™ FAST CM1-3BTS ,251106E008
Haapavesi3,Haapavesi,Valio,Haapavesi3,False,"77","TN",12-03-2026 10:12,,,Negative,Negative,2.86,Negative,3.38,Negative,4.4,Negative,3.23,05251106E008013961,MilkSafe™ FAST CM1-3BTS ,251106E008
Lapinlahti2,Lapinlahti,Valio,Lapinlahti2,False,"413","LT",12-03-2026 12:46,,,Negative,Negative,1.74,Negative,2.85,Negative,3.97,Negative,2.87,05250725E007003558,MilkSafe™ FAST CM1-3BTS ,250725E007
Sjk6,Seinäjoki,Valio,Sjk6,False,"295","SN",12-03-2026 12:12,,,Negative,Negative,2.31,Negative,3.01,Negative,3.9,Negative,2.8,05250725E007019149,MilkSafe™ FAST CM1-3BTS ,250725E007
Oulu2,Oulu,Valio,Oulu2,False,"37","VL",12-03-2026 12:56,,,Negative,Negative,1.88,Negative,2.7,Negative,3.43,Negative,2.59,05250725E007019901,MilkSafe™ FAST CM1-3BTS ,250725E007
Sjk2,Seinäjoki,Valio,Sjk2,False,"860","kh",12-03-2026 12:33,,,Negative,Negative,2.54,Negative,3.03,Negative,4.38,Negative,2.97,05250725E007019291,MilkSafe™ FAST CM1-3BTS ,250725E007
Oulu2,Oulu,Valio,Oulu2,False,"885","AS",12-03-2026 13:21,,,Negative,Negative,2,Negative,2.62,Negative,3.93,Negative,2.87,05250725E007016316,MilkSafe™ FAST CM1-3BTS ,250725E007
Haapavesi3,Haapavesi,Valio,Haapavesi3,False,"78","TN",12-03-2026 12:50,,,Negative,Negative,2.38,Negative,3.34,Negative,4.33,Negative,3.24,05251106E008013646,MilkSafe™ FAST CM1-3BTS ,251106E008
Sjk2,Seinäjoki,Valio,Sjk2,False,"337","TL",12-03-2026 13:16,,,Negative,Negative,2.72,Negative,3.8,Negative,4.69,Negative,3.45,05250725E007019262,MilkSafe™ FAST CM1-3BTS ,250725E007
Lapinlahti2,Lapinlahti,Valio,Lapinlahti2,False,"404","PK",12-03-2026 14:52,,,Negative,Negative,1.57,Negative,2.81,Negative,3.61,Negative,2.69,,MilkSafe™ FAST CM1-3BTS ,
Lapinlahti2,Lapinlahti,Valio,Lapinlahti2,False,"492","TP",12-03-2026 14:58,,,Negative,Negative,2.08,Negative,3.36,Negative,4.2,Negative,3.17,05250725E007001821,MilkSafe™ FAST CM1-3BTS ,250725E007
Lapinlahti1,Lapinlahti,Valio,Lapinlahti1,False,"432","PS",12-03-2026 15:05,,,Negative,Negative,1.51,Negative,2.27,Negative,2.63,Negative,2.07,,MilkSafe™ FAST CM1-3BTS ,
Lapinlahti2,Lapinlahti,Valio,Lapinlahti2,False,"52","TV",12-03-2026 15:10,,,Negative,Negative,1.75,Negative,2.65,Negative,3.6,Negative,2.68,05250725E007003783,MilkSafe™ FAST CM1-3BTS ,250725E007
LabraJKL01,Jyväskylä,Valio,LabraJKL01,False,"832","PH",12-03-2026 15:14,,,Negative,Negative,2.22,Negative,2.63,Negative,3.95,Negative,2.9,05250725E007010516,MilkSafe™ FAST CM1-3BTS ,250725E007
Oulu2,Oulu,Valio,Oulu2,False,"94","M A",12-03-2026 14:26,,,Negative,Negative,1.84,Negative,3.06,Negative,3.65,Negative,2.88,05250725E007019540,MilkSafe™ FAST CM1-3BTS ,250725E007
Riihimaki2,Riihimäki,Valio,Riihimaki2,False,"773","HL",12-03-2026 13:47,,,Negative,Negative,1.98,Negative,2.85,Negative,3.37,Negative,2.57,05250428E002002511,MilkSafe™ FAST CM1-3BTS ,250428E002
Sjk6,Seinäjoki,Valio,Sjk6,False,"291","HK",12-03-2026 14:05,,,Negative,Negative,2.37,Negative,3.42,Negative,4.21,Negative,3.19,05250725E007019281,MilkSafe™ FAST CM1-3BTS ,250725E007
Lapinlahti2,Lapinlahti,Valio,Lapinlahti2,False,"435","VR",12-03-2026 15:37,,,Negative,Negative,1.5,Negative,2.43,Negative,3.77,Negative,2.63,05251106E008017620,MilkSafe™ FAST CM1-3BTS ,251106E008
Haapavesi3,Haapavesi,Valio,Haapavesi3,False,"42","05251106E008011475",12-03-2026 14:08,,,Negative,Negative,2.28,Negative,3.08,Negative,4.2,Negative,2.92,05251106E008011475,MilkSafe™ FAST CM1-3BTS ,251106E008
Riihimaki2,Riihimäki,Valio,Riihimaki2,False,"805","SH",12-03-2026 14:14,,,Negative,Negative,2.11,Negative,3.61,Negative,4.08,Negative,3.29,05250428E002002056,MilkSafe™ FAST CM1-3BTS ,250428E002
Haapavesi3,Haapavesi,Valio,Haapavesi3,False,"163","OP",12-03-2026 14:22,,,Negative,Negative,2.13,Negative,3.04,Negative,3.83,Negative,2.8,05251106E008011464,MilkSafe™ FAST CM1-3BTS ,251106E008
Lapinlahti2,Lapinlahti,Valio,Lapinlahti2,False,"477","HK",12-03-2026 15:53,,,Negative,Negative,2.07,Negative,3.14,Negative,4.18,Negative,3.01,05251106E008001338,MilkSafe™ FAST CM1-3BTS ,251106E008
Haapavesi3,Haapavesi,Valio,Haapavesi3,False,"140","TH",12-03-2026 14:28,,,Negative,Negative,2.28,Negative,3.09,Negative,3.91,Negative,2.85,,MilkSafe™ FAST CM1-3BTS ,
Sjk2,Seinäjoki,Valio,Sjk2,False,"307","SH",12-03-2026 14:38,,,Negative,Negative,2.6,Negative,3.14,Negative,4.18,Negative,3.02,05250725E007018586,MilkSafe™ FAST CM1-3BTS ,250725E007
LabraJKL01,Jyväskylä,Valio,LabraJKL01,False,"346","JH",12-03-2026 16:08,,,Negative,Negative,2.52,Negative,3.33,Negative,4.02,Negative,3.16,05250725E007020341,MilkSafe™ FAST CM1-3BTS ,250725E007
Riihimaki2,Riihimäki,Valio,Riihimaki2,False,"801","PK",12-03-2026 14:43,,,Negative,Negative,2.42,Negative,3.35,Negative,3.85,Negative,3.12,05250428E002005503,MilkSafe™ FAST CM1-3BTS ,250428E002
Sjk2,Seinäjoki,Valio,Sjk2,False,"225","TL",12-03-2026 14:56,,,Negative,Negative,2.36,Negative,2.75,Negative,3.67,Negative,2.54,05250725E007018626,MilkSafe™ FAST CM1-3BTS ,250725E007
Sjk6,Seinäjoki,Valio,Sjk6,False,"647","HK",12-03-2026 14:59,,,Negative,Negative,2.76,Negative,3.12,Negative,4.12,Negative,3.02,05250725E007001327,MilkSafe™ FAST CM1-3BTS ,250725E007
Lapinlahti2,Lapinlahti,Valio,Lapinlahti2,False,"182","JH",12-03-2026 16:29,Confirmation,,Negative,Negative,2.17,Negative,3.12,Negative,4.4,Negative,3.04,05251106E008002014,MilkSafe™ FAST CM1-3BTS ,251106E008
Lapinlahti2,Lapinlahti,Valio,Lapinlahti2,False,"182","JH",12-03-2026 16:24,Original,,Positive,Positive,0.42,Negative,1.89,Positive,0.06,Positive,0.73,05251106E008002627,MilkSafe™ FAST CM1-3BTS ,251106E008
Haapavesi3,Haapavesi,Valio,Haapavesi3,False,"113","HR",12-03-2026 15:01,,,Negative,Negative,1.88,Negative,2.82,Negative,3.68,Negative,2.66,05251106E008014356,MilkSafe™ FAST CM1-3BTS ,251106E008
Lapinlahti1,Lapinlahti,Valio,Lapinlahti1,False,"60","TONI",12-03-2026 16:31,,,Negative,Negative,1.64,Negative,2.5,Negative,3.21,Negative,2.4,,MilkSafe™ FAST CM1-3BTS ,
Sjk2,Seinäjoki,Valio,Sjk2,False,"153","JA",12-03-2026 15:02,,,Negative,Negative,2.13,Negative,3.5,Negative,4.74,Negative,3.39,05250725E007018766,MilkSafe™ FAST CM1-3BTS ,250725E007
Sjk6,Seinäjoki,Valio,Sjk6,False,"321","NM",12-03-2026 15:14,,,Negative,Negative,2.66,Negative,3.27,Negative,4.25,Negative,3.06,05250725E007001056,MilkSafe™ FAST CM1-3BTS ,250725E007
Haapavesi3,Haapavesi,Valio,Haapavesi3,False,"130","VH",12-03-2026 15:16,,,Negative,Negative,1.89,Negative,3.18,Negative,3.83,Negative,2.9,05251106E008011432,MilkSafe™ FAST CM1-3BTS ,251106E008
Lapinlahti2,Lapinlahti,Valio,Lapinlahti2,False,"576","VH",12-03-2026 16:56,,,Negative,Negative,1.59,Negative,2.37,Negative,3.04,Negative,2.28,05251106E008001312,MilkSafe™ FAST CM1-3BTS ,251106E008
Lapinlahti2,Lapinlahti,Valio,Lapinlahti2,False,"417","LT",12-03-2026 17:30,,,Negative,Negative,1.81,Negative,2.79,Negative,3.76,Negative,2.86,05251106E008004313,MilkSafe™ FAST CM1-3BTS ,251106E008
Sjk2,Seinäjoki,Valio,Sjk2,False,"201","AE",12-03-2026 16:18,,,Negative,Negative,3.31,Negative,3.41,Negative,5,Negative,3.34,05250725E007009843,MilkSafe™ FAST CM1-3BTS ,250725E007
Lapinlahti2,Lapinlahti,Valio,Lapinlahti2,False,"461","TK",12-03-2026 17:52,,,Negative,Negative,2.39,Negative,3.39,Negative,4.45,Negative,3.25,05251106E008002332,MilkSafe™ FAST CM1-3BTS ,251106E008
Sjk2,Seinäjoki,Valio,Sjk2,False,"217","PA",12-03-2026 16:36,,,Negative,Negative,2.56,Negative,3.13,Negative,4.06,Negative,2.97,05250725E007018753,MilkSafe™ FAST CM1-3BTS ,250725E007
Lapinlahti2,Lapinlahti,Valio,Lapinlahti2,False,"55","MLS",12-03-2026 18:18,,,Negative,Negative,2.36,Negative,2.95,Negative,3.71,Negative,2.83,05250725E007009609,MilkSafe™ FAST CM1-3BTS ,250725E007
LabraJKL01,Jyväskylä,Valio,LabraJKL01,False,"643","NRT",12-03-2026 19:13,,,Negative,Negative,2.1,Negative,2.78,Negative,3.61,Negative,2.89,05250725E007013682,MilkSafe™ FAST CM1-3BTS ,250725E007
Haapavesi3,Haapavesi,Valio,Haapavesi3,False,"79","SV",12-03-2026 17:57,,,Negative,Negative,1.73,Negative,2.9,Negative,3.86,Negative,2.78,05251106E008008001,MilkSafe™ FAST CM1-3BTS ,251106E008
Lapinlahti2,Lapinlahti,Valio,Lapinlahti2,False,"459","MV",12-03-2026 20:21,,,Negative,Negative,2.01,Negative,2.8,Negative,3.52,Negative,2.76,05250725E007002541,MilkSafe™ FAST CM1-3BTS ,250725E007
Riihimaki2,Riihimäki,Valio,Riihimaki2,False,"778","JS",12-03-2026 18:50,,,Negative,Negative,1.81,Negative,2.85,Negative,3.31,Negative,2.61,05250428E002002154,MilkSafe™ FAST CM1-3BTS ,250428E002
Sjk2,Seinäjoki,Valio,Sjk2,False,"319","SJ",12-03-2026 19:01,,,Negative,Negative,2.36,Negative,3.17,Negative,4.16,Negative,2.97,05250725E007019041,MilkSafe™ FAST CM1-3BTS ,250725E007
Lapinlahti2,Lapinlahti,Valio,Lapinlahti2,False,"504","AL",12-03-2026 20:35,,,Negative,Negative,1.68,Negative,2.43,Negative,3.4,Negative,2.57,05250725E007009517,MilkSafe™ FAST CM1-3BTS ,250725E007
Lapinlahti2,Lapinlahti,Valio,Lapinlahti2,False,"412","MV",12-03-2026 21:05,,,Negative,Negative,2.12,Negative,3.18,Negative,4,Negative,2.97,05250725E007002616,MilkSafe™ FAST CM1-3BTS ,250725E007
LabraJKL01,Jyväskylä,Valio,LabraJKL01,False,"627","TN",12-03-2026 21:27,,,Negative,Negative,1.86,Negative,2.57,Negative,3.48,Negative,2.5,05250725E007020392,MilkSafe™ FAST CM1-3BTS ,250725E007
Sjk2,Seinäjoki,Valio,Sjk2,False,"605","MR",12-03-2026 20:10,,,Negative,Negative,2.12,Negative,3.06,Negative,3.95,Negative,2.9,05250725E007002222,MilkSafe™ FAST CM1-3BTS ,250725E007
LabraJKL01,Jyväskylä,Valio,LabraJKL01,False,"633","OP",12-03-2026 21:49,,,Negative,Negative,2.12,Negative,3,Negative,3.46,Negative,2.77,05250725E007013722,MilkSafe™ FAST CM1-3BTS ,250725E007
Riihimaki2,Riihimäki,Valio,Riihimaki2,False,"679","SV",12-03-2026 20:52,,,Negative,Negative,2.13,Negative,2.86,Negative,3.8,Negative,2.87,05250428E002002528,MilkSafe™ FAST CM1-3BTS ,250428E002
Lapinlahti2,Lapinlahti,Valio,Lapinlahti2,False,"403","LH",12-03-2026 22:28,,,Negative,Negative,2.28,Negative,3.24,Negative,4.3,Negative,3.21,05250725E007011506,MilkSafe™ FAST CM1-3BTS ,250725E007
LabraJKL01,Jyväskylä,Valio,LabraJKL01,False,"743","NR",12-03-2026 22:44,,,Negative,Negative,2.61,Negative,2.97,Negative,3.73,Negative,2.92,05250725E007021987,MilkSafe™ FAST CM1-3BTS ,250725E007
Lapinlahti2,Lapinlahti,Valio,Lapinlahti2,False,"410","MV",12-03-2026 23:04,,,Negative,Negative,2.39,Negative,3.4,Negative,4.83,Negative,3.45,05250725E007001898,MilkSafe™ FAST CM1-3BTS ,250725E007
Sjk2,Seinäjoki,Valio,Sjk2,False,"297","TK",12-03-2026 21:47,,,Negative,Negative,2.99,Negative,3.66,Negative,5,Negative,3.53,05250725E007018505,MilkSafe™ FAST CM1-3BTS ,250725E007
Sjk2,Seinäjoki,Valio,Sjk2,False,"209","AH",12-03-2026 21:59,,,Negative,Negative,2.51,Negative,3.06,Negative,4.11,Negative,2.98,05250725E007018811,MilkSafe™ FAST CM1-3BTS ,250725E007
Lapinlahti2,Lapinlahti,Valio,Lapinlahti2,False,"409","MV",13-03-2026 01:23,,,Negative,Negative,2.54,Negative,3.3,Negative,4.37,Negative,3.21,05250725E007002738,MilkSafe™ FAST CM1-3BTS ,250725E007
Lapinlahti2,Lapinlahti,Valio,Lapinlahti2,False,"495","TN",13-03-2026 01:32,,,Negative,Negative,1.96,Negative,2.73,Negative,3.63,Negative,2.62,05250725E007009512,MilkSafe™ FAST CM1-3BTS ,250725E007
Haapavesi3,Haapavesi,Valio,Haapavesi3,False,"80","SV",13-03-2026 00:15,,,Negative,Negative,1.54,Negative,2.73,Negative,2.97,Negative,2.52,05251106E008011343,MilkSafe™ FAST CM1-3BTS ,251106E008
Lapinlahti2,Lapinlahti,Valio,Lapinlahti2,False,"962","PR",13-03-2026 01:48,,,Negative,Negative,1.84,Negative,3.05,Negative,4.2,Negative,2.95,05251106E008017918,MilkSafe™ FAST CM1-3BTS ,251106E008
Sjk6,Seinäjoki,Valio,Sjk6,False,"219","JH",13-03-2026 01:01,,,Negative,Negative,2.37,Negative,3.16,Negative,4.16,Negative,3.07,05250725E007001280,MilkSafe™ FAST CM1-3BTS ,250725E007
Lapinlahti2,Lapinlahti,Valio,Lapinlahti2,False,"956","MK",13-03-2026 02:36,,,Negative,Negative,1.81,Negative,2.81,Negative,3.57,Negative,2.67,05250725E007003759,MilkSafe™ FAST CM1-3BTS ,250725E007
Sjk6,Seinäjoki,Valio,Sjk6,False,"161","EK",13-03-2026 01:10,,,Negative,Negative,2.82,Negative,3.12,Negative,4.12,Negative,3.01,05250725E007018618,MilkSafe™ FAST CM1-3BTS ,250725E007
Sjk6,Seinäjoki,Valio,Sjk6,False,"324","TP",13-03-2026 01:20,,,Negative,Negative,2.31,Negative,3.18,Negative,4.06,Negative,3.14,05250725E007018609,MilkSafe™ FAST CM1-3BTS ,250725E007
LabraJKL01,Jyväskylä,Valio,LabraJKL01,False,"345","PH",13-03-2026 02:52,,,Negative,Negative,1.95,Negative,2.78,Negative,3.2,Negative,2.6,05250725E007020367,MilkSafe™ FAST CM1-3BTS ,250725E007
Sjk6,Seinäjoki,Valio,Sjk6,False,"172","SA",13-03-2026 01:25,,,Negative,Negative,2.4,Negative,3.07,Negative,3.8,Negative,2.91,05250725E007018526,MilkSafe™ FAST CM1-3BTS ,250725E007
Sjk2,Seinäjoki,Valio,Sjk2,False,"142","NR",13-03-2026 01:26,,,Negative,Negative,2.39,Negative,3.11,Negative,4.13,Negative,3.05,05250725E007011713,MilkSafe™ FAST CM1-3BTS ,250725E007
Sjk2,Seinäjoki,Valio,Sjk2,False,"221","PT",13-03-2026 01:32,,,Negative,Negative,2.56,Negative,3.42,Negative,4.42,Negative,3.34,05250725E007018549,MilkSafe™ FAST CM1-3BTS ,250725E007
Lapinlahti2,Lapinlahti,Valio,Lapinlahti2,False,"90","MM",13-03-2026 03:05,,,Negative,Negative,1.68,Negative,2.52,Negative,3.43,Negative,2.52,05250725E007009926,MilkSafe™ FAST CM1-3BTS ,250725E007
Lapinlahti2,Lapinlahti,Valio,Lapinlahti2,False,"183","JL",13-03-2026 03:12,,,Negative,Negative,2.65,Negative,2.96,Negative,4.07,Negative,3.07,05250725E007011313,MilkSafe™ FAST CM1-3BTS ,250725E007
Haapavesi3,Haapavesi,Valio,Haapavesi3,False,"56","SK",13-03-2026 01:49,,,Negative,Negative,1.66,Negative,2.52,Negative,3.61,Negative,2.54,05251106E008011372,MilkSafe™ FAST CM1-3BTS ,251106E008
